id,created_at,created_by,name
02a5acea-dea0-478f-93fb-9e43a2881873,2024-08-29 16:24:44.125044+00,7a94c0de-e9c5-41aa-88c9-abd5a5c3079b,full.moon
047cbd1f-47fa-47da-8eb7-5dc7c1a65569,2024-06-08 18:28:59.707962+00,8592ca5b-8dd0-4ff4-a8cb-acda8b481c1e,festival.street
076a771e-8fcd-49b9-a7f9-86816426cf83,2024-11-11 17:03:25.21076+00,c26ec32f-df6d-403e-9722-88f2abeb910d,art.projection
0c0dc511-d5aa-440f-b006-08f188e75306,2024-07-31 23:29:29.591147+00,175a1a26-2506-4fb5-8d8e-ecc6f965b2f3,democracy
0e988ced-19ee-4a57-a736-78c2453632f6,2026-03-26 01:55:02.237889+00,8592ca5b-8dd0-4ff4-a8cb-acda8b481c1e,nerding.ai
0edf8a29-3c9c-4edd-9f1b-7799be496c74,2024-06-11 21:02:12.850879+00,8592ca5b-8dd0-4ff4-a8cb-acda8b481c1e,creative.civic-hack
0f2741d6-69ab-472d-8930-9df3ee61474d,2026-02-08 11:42:54.637702+00,435aa6cd-a9e7-4980-9543-c734f3fffd1a,meetup
12df1321-1c0a-4f9d-85aa-4a235a36d3a8,2024-12-23 23:49:07.502531+00,,misc.hangout
1382e2fa-ce13-422d-8604-4b5df1e97bc4,2026-02-23 21:18:04.500443+00,2fe6dc7d-20ae-498b-af61-402e6594d1e5,sidequest
148bb5d8-cb80-4f25-8d97-a7c68eaab4df,2024-06-12 12:45:01.153818+00,8592ca5b-8dd0-4ff4-a8cb-acda8b481c1e,date.dinner
1a7ebf04-d72d-479e-9d1e-058801dbe655,2024-07-27 20:23:33.543055+00,c8ee02e5-12e0-4c68-96ce-68441c7c861e,dance.medicine
1c52be3e-e52b-470c-a0f7-e3f4e174b00a,2024-09-12 17:47:48.131417+00,e04dd6dc-ddfc-45cd-ab13-82ff89e2067d,comedy.sketch
1cd61db4-9a68-4b06-9b6d-dc9782ce7f87,2025-02-14 19:14:12.919708+00,8592ca5b-8dd0-4ff4-a8cb-acda8b481c1e,sauna.hang
1e63979a-14bf-4185-9089-d1bd8f16e435,2024-07-03 19:30:52.236+00,8592ca5b-8dd0-4ff4-a8cb-acda8b481c1e,park.beats
20005c1c-9806-4a34-b20a-ed3d47d13add,2024-08-08 23:23:36.26142+00,6e242304-89ff-4147-8509-e4c151cd3c52,party.house
201af5e8-3a71-4bb0-b6d8-00cd2ed5194e,2024-06-16 04:42:00.909916+00,ebd2e065-94cb-4b20-a372-de567f1f4f3e,cat.worship
237e8add-5277-4431-9ce5-9117c11f23dc,2024-09-03 23:06:28.222814+00,427ca322-5fab-4151-b20a-6920d2d5c1ab,art
2402cc02-f199-4f44-a382-0d91248ac081,2026-02-16 23:23:04.882679+00,8592ca5b-8dd0-4ff4-a8cb-acda8b481c1e,games.trivia
245d348c-2e9a-4c13-aa1b-803773b3ba6e,2024-06-16 01:01:49.350904+00,44a6e304-f89a-4be8-bad6-761dcc3c7b3d,park.picnic
